Food Menu,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Added Sugars,Protein
"McValue, Chicken McNuggets, 4 Piece",170,10,1.5,0,25,340,10,0,0,0,9
"McValue, Chicken McNuggets, 6 Piece",250,15,2.5,0,40,500,15,0,0,0,14
"McValue, Chicken McNuggets, 10 Piece",410,24,4,0,65,850,26,1,0,0,23
"McValue, Chicken McNuggets, 20 Piece",830,49,8,0,125,"1,700",51,2,0,0,46
"McValue, Chicken McNuggets, 40 Piece","1,650",98,16,0.5,255,"3,400",102,4,1,0,92
"McValue, Double Cheeseburger",440,24,11,1.5,85,"1,120",34,2,6,5,25
"McValue, Hash Browns",140,8,1,0,0,310,18,2,0,0,2
"McValue, McChicken",390,21,3.5,0,40,560,38,1,4,4,14
"McValue, Sausage Biscuit",460,30,13,0,35,"1,090",37,2,2,1,11
"McValue, Sausage Burrito",310,17,7,0,170,800,25,1,2,1,13
"McValue, Sausage McMuffin",400,26,10,0.5,55,760,29,2,2,1,14
"McValue, The McChicken $5 Meal Deal",990,42,7,0,65,"1,140",132,4,57,57,26
"McValue, The McDouble $5 Meal Deal",990,41,12,1,95,"1,500",126,5,59,58,34
"McValue, World Famous Fries, Kids",110,5,0.5,0,0,90,14,1,0,0,2
"McValue, World Famous Fries, Large",480,23,3,0,0,400,65,6,0,0,7
"McValue, World Famous Fries, Medium",320,15,2,0,0,260,43,4,0,0,5
"McValue, World Famous Fries, Small",230,11,1.5,0,0,190,31,3,0,0,3
"Bacon, Egg & Cheese Bagel",590,30,12,0.5,245,"1,320",56,2,7,2,25
"Bacon, Egg & Cheese Biscuit",460,26,13,0,215,"1,330",39,2,3,1,17
"Bacon, Egg & Cheese Biscuit Meal",610,34,14,0,215,"1,650",58,4,3,1,19
"Bacon, Egg & Cheese McGriddles",430,21,9,0,215,"1,230",44,2,15,13,17
"Bacon, Egg & Cheese McGriddles Meal",580,29,10,0,215,"1,550",63,4,15,13,19
Bagel (Plain),270,3.5,0.5,0,0,550,51,2,5,2,9
Big Breakfast,"1,060",48,18,0,485,"1,540",131,3,56,54,26
Big Breakfast with Hotcakes,"1,340",63,24,0.5,525,"2,070",158,5,48,41,36
Egg & Cheese Bagel,520,24,10,0.5,230,"1,100",55,2,6,2,21
Egg McMuffin,310,13,6,0,250,770,30,2,3,1,17
Egg McMuffin Meal,460,21,7,0,250,"1,090",49,4,3,1,19
Fruit & Maple Oatmeal,320,4.5,1.5,0,<5,150,64,4,31,18,6
Hash Browns,140,8,1,0,0,310,18,2,0,0,2
Hotcakes,580,15,6,0,40,530,101,2,45,40,9
Hotcakes & Sausage,770,33,12,0,75,810,102,2,46,40,15
"Sausage, Egg & Cheese Bagel",710,42,16,0.5,265,"1,380",56,2,6,2,27
"Sausage, Egg & Cheese McGriddles",550,33,13,0,235,"1,290",44,2,15,13,19
"Sausage, Egg & Cheese McGriddles Meal",700,41,14,0,235,"1,610",63,4,15,13,21
Sausage Biscuit,460,30,13,0,35,"1,090",37,2,2,1,11
Sausage Biscuit with Egg,530,35,15,0,225,"1,190",38,2,3,1,17
Sausage Biscuit with Egg Meal,680,43,16,0,225,"1,510",57,4,3,1,19
Sausage Burrito,310,17,7,0,170,800,25,1,2,1,13
Sausage Burrito Meal,460,25,8,0,170,"1,120",44,3,2,1,15
Sausage McGriddles,430,24,9,0,35,990,41,2,14,13,11
Sausage McGriddles Meal,580,32,10,0,35,"1,310",60,4,14,13,13
Sausage McMuffin,400,26,10,0.5,55,760,29,2,2,1,14
Sausage McMuffin with Egg,480,31,12,0.5,280,830,30,2,2,1,20
Sausage McMuffin with Egg Meal,630,39,13,0.5,280,"1,150",49,4,2,1,22
"Steak, Egg & Cheese Bagel",680,35,15,1.5,275,"1,510",57,3,7,2,34
Bacon Quarter Pounder with Cheese,630,35,15,1.5,115,"1,470",43,3,10,8,36
Big Mac,580,34,11,1,85,"1,060",45,3,7,5,25
Cheeseburger,300,13,6,0.5,40,720,31,2,6,5,15
Double Cheeseburger,440,24,11,1.5,85,"1,120",34,2,6,5,25
Double Quarter Pounder with Cheese,740,42,20,2.5,165,"1,360",43,2,10,8,48
"Hamburger, The Classic McDonald's Burger",250,9,3.5,0,30,510,30,1,5,5,12
McDouble,390,20,9,1,70,920,32,2,6,5,22
Quarter Pounder with Cheese,520,26,12,1.5,95,"1,140",42,2,10,8,30
Quarter Pounder with Cheese Deluxe,630,37,14,1.5,105,"1,210",44,3,11,8,30
Deluxe McCrispy,530,26,4,0,65,"1,050",48,2,10,7,27
Filet-O-Fish,380,19,4,0,30,580,38,1,4,4,16
McChicken,390,21,3.5,0,40,560,38,1,4,4,14
McCrispy,470,20,5,0,70,"1,140",46,1,9,7,26
